#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.148376E-01   0.135499E+08   0.135311E+08  -0.153896E+04  -0.153954E+04   0.000000E+00   0.135469E+08   0.135469E+08   0.135469E+08  -0.321604E+00   0.710290E+07   0.710273E+07   0.366442E+01
   0.153405E-01   0.133549E+08   0.133351E+08  -0.141897E+04  -0.141950E+04   0.000000E+00   0.133518E+08   0.133518E+08   0.133518E+08  -0.316971E+00   0.700057E+07   0.700040E+07   0.372196E+01
   0.158605E-01   0.131558E+08   0.131349E+08  -0.130764E+04  -0.130813E+04   0.000000E+00   0.131525E+08   0.131525E+08   0.131525E+08  -0.312239E+00   0.689607E+07   0.689589E+07   0.377743E+01
   0.163980E-01   0.129525E+08   0.129305E+08  -0.120439E+04  -0.120484E+04   0.000000E+00   0.129490E+08   0.129490E+08   0.129490E+08  -0.307410E+00   0.678941E+07   0.678922E+07   0.383048E+01
   0.169539E-01   0.127451E+08   0.127220E+08  -0.110866E+04  -0.110907E+04   0.000000E+00   0.127415E+08   0.127415E+08   0.127415E+08  -0.302482E+00   0.668058E+07   0.668038E+07   0.388072E+01
   0.175285E-01   0.125337E+08   0.125094E+08  -0.101993E+04  -0.102031E+04   0.000000E+00   0.125298E+08   0.125298E+08   0.125298E+08  -0.297458E+00   0.656962E+07   0.656941E+07   0.392777E+01
   0.181226E-01   0.123182E+08   0.122927E+08  -0.937731E+03  -0.938084E+03   0.000000E+00   0.123142E+08   0.123142E+08   0.123142E+08  -0.292338E+00   0.645654E+07   0.645632E+07   0.397120E+01
   0.187369E-01   0.120987E+08   0.120720E+08  -0.861610E+03  -0.861935E+03   0.000000E+00   0.120945E+08   0.120945E+08   0.120945E+08  -0.287124E+00   0.634139E+07   0.634116E+07   0.401056E+01
   0.193720E-01   0.118754E+08   0.118475E+08  -0.791149E+03  -0.791447E+03   0.000000E+00   0.118710E+08   0.118710E+08   0.118710E+08  -0.281818E+00   0.622420E+07   0.622396E+07   0.404537E+01
   0.200286E-01   0.116484E+08   0.116192E+08  -0.725958E+03  -0.726232E+03   0.000000E+00   0.116438E+08   0.116438E+08   0.116438E+08  -0.276423E+00   0.610504E+07   0.610480E+07   0.407512E+01
   0.207075E-01   0.114177E+08   0.113872E+08  -0.665674E+03  -0.665925E+03   0.000000E+00   0.114129E+08   0.114129E+08   0.114129E+08  -0.270941E+00   0.598398E+07   0.598373E+07   0.409930E+01
   0.214094E-01   0.111835E+08   0.111518E+08  -0.609958E+03  -0.610187E+03   0.000000E+00   0.111785E+08   0.111785E+08   0.111785E+08  -0.265378E+00   0.586111E+07   0.586085E+07   0.411737E+01
   0.221350E-01   0.109461E+08   0.109130E+08  -0.558492E+03  -0.558703E+03   0.000000E+00   0.109409E+08   0.109409E+08   0.109409E+08  -0.259737E+00   0.573653E+07   0.573625E+07   0.412875E+01
   0.228853E-01   0.107057E+08   0.106713E+08  -0.510983E+03  -0.511175E+03   0.000000E+00   0.107003E+08   0.107003E+08   0.107003E+08  -0.254023E+00   0.561035E+07   0.561006E+07   0.413289E+01
   0.236610E-01   0.104624E+08   0.104268E+08  -0.467155E+03  -0.467331E+03   0.000000E+00   0.104568E+08   0.104568E+08   0.104568E+08  -0.248244E+00   0.548272E+07   0.548242E+07   0.412920E+01
   0.244630E-01   0.102167E+08   0.101798E+08  -0.426752E+03  -0.426912E+03   0.000000E+00   0.102109E+08   0.102109E+08   0.102109E+08  -0.242407E+00   0.535379E+07   0.535349E+07   0.411710E+01
   0.252922E-01   0.996890E+07   0.993079E+07  -0.389534E+03  -0.389680E+03   0.000000E+00   0.996290E+07   0.996290E+07   0.996290E+07  -0.236519E+00   0.522375E+07   0.522344E+07   0.409603E+01
   0.261495E-01   0.971933E+07   0.968004E+07  -0.355278E+03  -0.355412E+03   0.000000E+00   0.971315E+07   0.971315E+07   0.971315E+07  -0.230590E+00   0.509280E+07   0.509248E+07   0.406541E+01
   0.270358E-01   0.946846E+07   0.942806E+07  -0.323776E+03  -0.323898E+03   0.000000E+00   0.946211E+07   0.946211E+07   0.946211E+07  -0.224630E+00   0.496118E+07   0.496085E+07   0.402474E+01
   0.279522E-01   0.921678E+07   0.917533E+07  -0.294834E+03  -0.294945E+03   0.000000E+00   0.921026E+07   0.921026E+07   0.921026E+07  -0.218651E+00   0.482913E+07   0.482880E+07   0.397350E+01
   0.288996E-01   0.896481E+07   0.892240E+07  -0.268270E+03  -0.268371E+03   0.000000E+00   0.895814E+07   0.895814E+07   0.895814E+07  -0.212666E+00   0.469694E+07   0.469660E+07   0.391127E+01
   0.298792E-01   0.871314E+07   0.866989E+07  -0.243915E+03  -0.244007E+03   0.000000E+00   0.870634E+07   0.870634E+07   0.870634E+07  -0.206688E+00   0.456492E+07   0.456457E+07   0.383767E+01
   0.308919E-01   0.846241E+07   0.841843E+07  -0.221611E+03  -0.221695E+03   0.000000E+00   0.845549E+07   0.845549E+07   0.845549E+07  -0.200733E+00   0.443340E+07   0.443305E+07   0.375241E+01
   0.319390E-01   0.821330E+07   0.816872E+07  -0.201209E+03  -0.201285E+03   0.000000E+00   0.820629E+07   0.820629E+07   0.820629E+07  -0.194817E+00   0.430273E+07   0.430238E+07   0.365531E+01
   0.330216E-01   0.796652E+07   0.792150E+07  -0.182572E+03  -0.182640E+03   0.000000E+00   0.795944E+07   0.795944E+07   0.795944E+07  -0.188957E+00   0.417331E+07   0.417296E+07   0.354629E+01
   0.341409E-01   0.772284E+07   0.767755E+07  -0.165568E+03  -0.165630E+03   0.000000E+00   0.771572E+07   0.771572E+07   0.771572E+07  -0.183171E+00   0.404552E+07   0.404517E+07   0.342542E+01
   0.352981E-01   0.748304E+07   0.743767E+07  -0.150076E+03  -0.150132E+03   0.000000E+00   0.747590E+07   0.747590E+07   0.747590E+07  -0.177477E+00   0.391978E+07   0.391943E+07   0.329295E+01
   0.364945E-01   0.724789E+07   0.720264E+07  -0.135982E+03  -0.136033E+03   0.000000E+00   0.724077E+07   0.724077E+07   0.724077E+07  -0.171896E+00   0.379650E+07   0.379616E+07   0.314928E+01
   0.377315E-01   0.701743E+07   0.697252E+07  -0.123164E+03  -0.123210E+03   0.000000E+00   0.701036E+07   0.701036E+07   0.701036E+07  -0.166426E+00   0.367569E+07   0.367535E+07   0.299510E+01
   0.390104E-01   0.679216E+07   0.674782E+07  -0.111520E+03  -0.111562E+03   0.000000E+00   0.678519E+07   0.678519E+07   0.678519E+07  -0.161080E+00   0.355763E+07   0.355730E+07   0.283126E+01
   0.403327E-01   0.657379E+07   0.653025E+07  -0.100972E+03  -0.101010E+03   0.000000E+00   0.656694E+07   0.656694E+07   0.656694E+07  -0.155899E+00   0.344320E+07   0.344287E+07   0.265874E+01
   0.416998E-01   0.636316E+07   0.632066E+07  -0.914327E+02  -0.914671E+02   0.000000E+00   0.635647E+07   0.635647E+07   0.635647E+07  -0.150902E+00   0.333284E+07   0.333253E+07   0.247879E+01
   0.431132E-01   0.616098E+07   0.611976E+07  -0.828178E+02  -0.828490E+02   0.000000E+00   0.615450E+07   0.615450E+07   0.615450E+07  -0.146107E+00   0.322694E+07   0.322664E+07   0.229297E+01
   0.445745E-01   0.596774E+07   0.592803E+07  -0.750468E+02  -0.750751E+02   0.000000E+00   0.596150E+07   0.596150E+07   0.596150E+07  -0.141526E+00   0.312575E+07   0.312547E+07   0.210306E+01
   0.460854E-01   0.578370E+07   0.574572E+07  -0.680423E+02  -0.680679E+02   0.000000E+00   0.577772E+07   0.577772E+07   0.577772E+07  -0.137163E+00   0.302939E+07   0.302912E+07   0.191108E+01
   0.476474E-01   0.560881E+07   0.557276E+07  -0.617303E+02  -0.617535E+02   0.000000E+00   0.560314E+07   0.560314E+07   0.560314E+07  -0.133018E+00   0.293785E+07   0.293760E+07   0.171928E+01
   0.492625E-01   0.544279E+07   0.540885E+07  -0.560411E+02  -0.560622E+02   0.000000E+00   0.543745E+07   0.543745E+07   0.543745E+07  -0.129085E+00   0.285097E+07   0.285074E+07   0.153009E+01
   0.509322E-01   0.528511E+07   0.525342E+07  -0.509095E+02  -0.509287E+02   0.000000E+00   0.528012E+07   0.528012E+07   0.528012E+07  -0.125350E+00   0.276848E+07   0.276827E+07   0.134605E+01
   0.526586E-01   0.513507E+07   0.510573E+07  -0.462758E+02  -0.462933E+02   0.000000E+00   0.513045E+07   0.513045E+07   0.513045E+07  -0.121797E+00   0.269000E+07   0.268982E+07   0.116976E+01
   0.544434E-01   0.499186E+07   0.496492E+07  -0.420858E+02  -0.421016E+02   0.000000E+00   0.498762E+07   0.498762E+07   0.498762E+07  -0.118406E+00   0.261511E+07   0.261495E+07   0.100386E+01
   0.562888E-01   0.485462E+07   0.483008E+07  -0.382908E+02  -0.383053E+02   0.000000E+00   0.485076E+07   0.485076E+07   0.485076E+07  -0.115157E+00   0.254335E+07   0.254321E+07   0.850800E+00
   0.581967E-01   0.472331E+07   0.470110E+07  -0.348540E+02  -0.348672E+02   0.000000E+00   0.471982E+07   0.471982E+07   0.471982E+07  -0.112048E+00   0.247469E+07   0.247457E+07   0.712876E+00
   0.609398E-01   0.455241E+07   0.453321E+07  -0.306387E+02  -0.306503E+02   0.000000E+00   0.454939E+07   0.454939E+07   0.454939E+07  -0.108002E+00   0.238533E+07   0.238523E+07   0.550418E+00
   0.636829E-01   0.438956E+07   0.437285E+07  -0.270540E+02  -0.270642E+02   0.000000E+00   0.438693E+07   0.438693E+07   0.438693E+07  -0.104146E+00   0.230015E+07   0.230007E+07   0.429329E+00
   0.664259E-01   0.423354E+07   0.421876E+07  -0.239829E+02  -0.239920E+02   0.000000E+00   0.423122E+07   0.423122E+07   0.423122E+07  -0.100449E+00   0.221850E+07   0.221843E+07   0.345994E+00
   0.691690E-01   0.408105E+07   0.406762E+07  -0.213224E+02  -0.213304E+02   0.000000E+00   0.407894E+07   0.407894E+07   0.407894E+07  -0.968338E-01   0.213866E+07   0.213860E+07   0.295698E+00
   0.719121E-01   0.392993E+07   0.391727E+07  -0.189964E+02  -0.190036E+02   0.000000E+00   0.392794E+07   0.392794E+07   0.392794E+07  -0.932490E-01   0.205948E+07   0.205943E+07   0.272805E+00
   0.746552E-01   0.377914E+07   0.376676E+07  -0.169497E+02  -0.169560E+02   0.000000E+00   0.377719E+07   0.377719E+07   0.377719E+07  -0.896703E-01   0.198045E+07   0.198039E+07   0.271182E+00
   0.773983E-01   0.362874E+07   0.361621E+07  -0.151416E+02  -0.151473E+02   0.000000E+00   0.362677E+07   0.362677E+07   0.362677E+07  -0.860992E-01   0.190158E+07   0.190151E+07   0.284592E+00
   0.801413E-01   0.347957E+07   0.346658E+07  -0.135418E+02  -0.135469E+02   0.000000E+00   0.347753E+07   0.347753E+07   0.347753E+07  -0.825563E-01   0.182333E+07   0.182326E+07   0.307082E+00
   0.828844E-01   0.333298E+07   0.331932E+07  -0.121264E+02  -0.121309E+02   0.000000E+00   0.333083E+07   0.333083E+07   0.333083E+07  -0.790738E-01   0.174642E+07   0.174634E+07   0.333277E+00
   0.856275E-01   0.319051E+07   0.317609E+07  -0.108756E+02  -0.108797E+02   0.000000E+00   0.318824E+07   0.318824E+07   0.318824E+07  -0.756887E-01   0.167166E+07   0.167157E+07   0.358623E+00
   0.883706E-01   0.305369E+07   0.303853E+07  -0.977243E+01  -0.977611E+01   0.000000E+00   0.305130E+07   0.305130E+07   0.305130E+07  -0.724378E-01   0.159986E+07   0.159976E+07   0.379531E+00
   0.911136E-01   0.292395E+07   0.290817E+07  -0.880179E+01  -0.880511E+01   0.000000E+00   0.292146E+07   0.292146E+07   0.292146E+07  -0.693554E-01   0.153178E+07   0.153168E+07   0.393448E+00
   0.938567E-01   0.280256E+07   0.278635E+07  -0.795006E+01  -0.795305E+01   0.000000E+00   0.280001E+07   0.280001E+07   0.280001E+07  -0.664721E-01   0.146811E+07   0.146799E+07   0.398846E+00
   0.965998E-01   0.269057E+07   0.267416E+07  -0.720476E+01  -0.720748E+01   0.000000E+00   0.268799E+07   0.268799E+07   0.268799E+07  -0.638128E-01   0.140937E+07   0.140926E+07   0.395159E+00
   0.993429E-01   0.258869E+07   0.257234E+07  -0.655421E+01  -0.655668E+01   0.000000E+00   0.258612E+07   0.258612E+07   0.258612E+07  -0.613943E-01   0.135596E+07   0.135584E+07   0.382654E+00
   0.102086E+00   0.249717E+07   0.248116E+07  -0.598722E+01  -0.598947E+01   0.000000E+00   0.249465E+07   0.249465E+07   0.249465E+07  -0.592230E-01   0.130800E+07   0.130789E+07   0.362288E+00
   0.104829E+00   0.241580E+07   0.240037E+07  -0.549296E+01  -0.549503E+01   0.000000E+00   0.241337E+07   0.241337E+07   0.241337E+07  -0.572932E-01   0.126538E+07   0.126528E+07   0.335534E+00
   0.107572E+00   0.234384E+07   0.232920E+07  -0.506110E+01  -0.506300E+01   0.000000E+00   0.234153E+07   0.234153E+07   0.234153E+07  -0.555879E-01   0.122772E+07   0.122762E+07   0.304198E+00
   0.110315E+00   0.228020E+07   0.226652E+07  -0.468201E+01  -0.468378E+01   0.000000E+00   0.227805E+07   0.227805E+07   0.227805E+07  -0.540808E-01   0.119443E+07   0.119434E+07   0.270243E+00
   0.113058E+00   0.222357E+07   0.221094E+07  -0.434704E+01  -0.434868E+01   0.000000E+00   0.222158E+07   0.222158E+07   0.222158E+07  -0.527402E-01   0.116482E+07   0.116474E+07   0.235621E+00
   0.115801E+00   0.217251E+07   0.216099E+07  -0.404859E+01  -0.405011E+01   0.000000E+00   0.217070E+07   0.217070E+07   0.217070E+07  -0.515322E-01   0.113814E+07   0.113807E+07   0.202134E+00
   0.118544E+00   0.212560E+07   0.211516E+07  -0.378017E+01  -0.378159E+01   0.000000E+00   0.212396E+07   0.212396E+07   0.212396E+07  -0.504227E-01   0.111363E+07   0.111357E+07   0.171320E+00
   0.121288E+00   0.208146E+07   0.207202E+07  -0.353630E+01  -0.353763E+01   0.000000E+00   0.207997E+07   0.207997E+07   0.207997E+07  -0.493785E-01   0.109057E+07   0.109052E+07   0.144381E+00
   0.124031E+00   0.203876E+07   0.203020E+07  -0.331238E+01  -0.331363E+01   0.000000E+00   0.203741E+07   0.203741E+07   0.203741E+07  -0.483680E-01   0.106825E+07   0.106821E+07   0.122136E+00
   0.126774E+00   0.199630E+07   0.198847E+07  -0.310468E+01  -0.310585E+01   0.000000E+00   0.199507E+07   0.199507E+07   0.199507E+07  -0.473628E-01   0.104605E+07   0.104601E+07   0.105009E+00
   0.129517E+00   0.195311E+07   0.194582E+07  -0.291028E+01  -0.291137E+01   0.000000E+00   0.195196E+07   0.195196E+07   0.195196E+07  -0.463395E-01   0.102345E+07   0.102341E+07   0.930492E-01
   0.132260E+00   0.190851E+07   0.190160E+07  -0.272712E+01  -0.272815E+01   0.000000E+00   0.190742E+07   0.190742E+07   0.190742E+07  -0.452821E-01   0.100009E+07   0.100006E+07   0.859687E-01
   0.135003E+00   0.186222E+07   0.185550E+07  -0.255396E+01  -0.255492E+01   0.000000E+00   0.186117E+07   0.186117E+07   0.186117E+07  -0.441840E-01   0.975843E+06   0.975809E+06   0.832012E-01
   0.137746E+00   0.181436E+07   0.180767E+07  -0.239018E+01  -0.239108E+01   0.000000E+00   0.181331E+07   0.181331E+07   0.181331E+07  -0.430479E-01   0.950751E+06   0.950716E+06   0.839742E-01
   0.140489E+00   0.176535E+07   0.175856E+07  -0.223563E+01  -0.223647E+01   0.000000E+00   0.176428E+07   0.176428E+07   0.176428E+07  -0.418839E-01   0.925043E+06   0.925006E+06   0.873871E-01
   0.143232E+00   0.171580E+07   0.170881E+07  -0.209039E+01  -0.209118E+01   0.000000E+00   0.171470E+07   0.171470E+07   0.171470E+07  -0.407068E-01   0.899048E+06   0.899008E+06   0.924892E-01
   0.145975E+00   0.166640E+07   0.165916E+07  -0.195455E+01  -0.195529E+01   0.000000E+00   0.166526E+07   0.166526E+07   0.166526E+07  -0.395331E-01   0.873126E+06   0.873083E+06   0.983514E-01
   0.148718E+00   0.161780E+07   0.161028E+07  -0.182813E+01  -0.182881E+01   0.000000E+00   0.161662E+07   0.161662E+07   0.161662E+07  -0.383784E-01   0.847624E+06   0.847578E+06   0.104127E+00
   0.151461E+00   0.157060E+07   0.156282E+07  -0.171102E+01  -0.171166E+01   0.000000E+00   0.156938E+07   0.156938E+07   0.156938E+07  -0.372569E-01   0.822855E+06   0.822806E+06   0.109097E+00
   0.154204E+00   0.152532E+07   0.151731E+07  -0.160304E+01  -0.160364E+01   0.000000E+00   0.152406E+07   0.152406E+07   0.152406E+07  -0.361812E-01   0.799097E+06   0.799045E+06   0.112706E+00
